ID	Seed	wetIndicatorThreshold	wetConfidenceThreshold	C1	addC1	P1	C2	P2	dryLevelThreshold	dryFlowAdjustment	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Muskrat Lodge Viability (%)	Recreational Boating: Impact Costs ($)
188	2	5612.822064982188	122.29297906744549	143.57552846550954	23.307280184462464	0.6122037867062784	277.29790082254243	1.5606588611630623	74.6610022700294	49.74396970712163	64157.85750847457	3893.627118644068	192489363.98305085	-2354581790.492969	-11643.597499999998	-0.4901389830508474	16052230.415423729
189	2	5615.570679684845	250.0	20.84523679919189	86.75881922249644	0.7335275627019819	82.9803699331778	1.5471237213796418	75.41545427259604	50.0	51093.4533559322	3859.915254237288	192603856.40677965	-2349979599.275925	-14504.484255555551	-0.5082118644067796	22830180.735932205
190	2	6636.0443999772815	102.47947997282668	123.82827980306448	91.30320339329552	1.2085711172462927	199.0593735234753	1.6708157763396718	74.96496879922138	39.95889508072887	56012.34120338984	3866.3898305084745	192884006.6779661	-2352044220.618418	-13112.01722222222	-0.4997728813559321	18766752.729322035
191	2	9586.534852386436	20.253753969803853	101.17998530996834	115.75871705487629	0.7926324589386917	253.67227714932136	1.869181458637016	75.74313059494686	47.175298977909605	56071.9187118644	3871.2203389830506	191891751.1186441	-2351914029.1695266	-13505.497988888888	-0.4971610169491525	19741227.40423729
192	2	9789.07046173942	100.45089652856188	175.4493166147554	168.86278407919582	1.2810521188504684	168.19955507825532	1.8145404848583464	75.35101584087678	33.7044999546761	59328.561847457626	3876.898305084746	193118732.94915253	-2353217343.8712406	-13027.62568888889	-0.4978	17996356.782881353
193	2	7531.57351112393	155.27211019184404	187.89315950997147	240.47901175503267	1.317156994680166	299.9017815847368	1.9988203196289769	75.18394005281003	44.21108082816947	51146.70206779661	3846.0508474576272	194750864.47457623	-2350334472.4550123	-13046.565833333334	-0.5001762711864406	18837722.499152545
194	2	9274.888150547482	140.50702715768108	133.7628837704854	100.84684856535624	1.1184963887939827	178.5247816703937	1.3545362408242123	76.23618389850252	49.61218195202881	54425.87286440677	3858.864406779661	192969520.01694915	-2351520545.818523	-13158.031599999997	-0.4936593220338983	19332246.753898304
195	2	8802.954958530829	227.9753204733116	173.50176474323203	93.72122040247532	1.3891681220476622	172.2224167172606	1.89292470693374	76.12183337370296	33.8865481562195	60806.94279661017	3886.661016949152	192807895.23728812	-2353735079.9377933	-13013.584022222223	-0.5033728813559322	17930640.311186444
196	2	8623.097957683105	140.57595600387455	20.706804406566963	165.68972377937513	1.2151395680857393	272.29516905739325	1.1355965974823563	75.54678985457578	43.43279824013115	95667.78635593218	3950.4745762711855	190996906.6949153	-2358596249.549237	-10588.83661111111	-0.4649627118644068	17939235.24864407
197	2	7427.683997548065	97.63490187003364	57.82715434267271	47.479051910884166	0.5664527631535118	156.28059213408477	1.4566234749861753	75.4326460182498	49.66297282354385	52793.8022881356	3857.169491525424	192665146.7288136	-2350892022.627092	-13568.021722222224	-0.5114135593220338	20413462.56779661
198	2	7067.826567865878	113.96878396854972	73.92074634984738	97.87647214876444	0.679322605379421	43.47453647077319	1.9911951617432324	74.78131519302417	48.6033664877598	52445.24703389831	3866.338983050848	192697168.76271185	-2350359131.862623	-15026.16778888889	-0.527450847457627	23074392.933050845
199	2	5572.98711970681	19.51096149150072	233.49433669814604	50.70408935442197	1.3061688414436523	296.13981322778	1.8847782669695463	75.10968742307536	9.748988051553576	64009.4933559322	3887.0508474576272	194645507.3559322	-2354387277.5378566	-10523.772755555554	-0.4928203389830508	15289111.066271184
200	2	8496.345873645909	170.7110689520308	20.42019263152963	162.59532649163913	1.2340845564660945	277.63243037445653	1.5802684321983602	75.54678985457578	45.18944639570028	90684.45220338982	3946.915254237288	190999096.1186441	-2357633136.8976297	-12562.118644444445	-0.4713271186440678	19108919.086271185
201	2	7838.019949195964	41.35417258271882	182.4290135292469	91.03896472518124	0.9682694475111362	206.1325296454008	1.8881915653728183	75.64600778971668	47.91081566018178	46192.358016949154	3832.898305084746	194761406.6779661	-2348330447.784938	-13672.159244444443	-0.4908101694915254	21336530.93084745
202	2	7496.437891890035	180.52335512603716	127.76635103435196	107.58519485668182	1.1136332033516851	248.37977220615832	1.8289314143773967	75.04518155578293	26.69990599937721	62050.62847457628	3871.271186440678	193997691.4915254	-2354137332.3269653	-12070.521166666667	-0.4904355932203389	16165466.242542371
203	2	9383.64499997286	179.92521680728612	102.63654703871198	101.0710508184811	0.3349414386782817	82.3801307325436	1.8268802865361835	75.58087540521555	47.58765686050591	45925.33822033898	3833.271186440678	192993514.4237288	-2347533164.8090563	-14555.93591111111	-0.5071661016949153	25188781.8481356
204	2	6150.321723595506	112.84846104598422	117.85212876959584	120.03155022879372	1.179408383181211	291.08408488559087	1.627488759056405	74.78254993583634	29.24773397669598	69121.57105084746	3915.4745762711855	193880449.88135597	-2355819421.914624	-11018.58902222222	-0.5007525423728814	15255905.258474572
205	2	7585.954067297897	130.80200532702776	150.00610993872618	53.08749164440056	0.7882540426148212	195.76750613442752	1.8983103161077413	74.78746396340979	49.36787187249662	56066.228711864416	3871.6101694915255	193692089.1525424	-2351796104.645055	-14010.461344444446	-0.503664406779661	19428494.144915257
206	2	6197.398541556845	37.14171597452082	156.93966069682	22.081338337964084	0.5590443910979643	248.4919272868487	1.6711612904779298	74.66590092718307	48.677522440040256	55797.03942372882	3865.864406779661	193231486.98305085	-2352084154.423121	-12566.371077777776	-0.4857542372881356	17644523.707288135
207	2	5789.127610920399	84.7470147461458	103.92308844842636	13.347925921031774	0.624378976685001	7.01015284255454	1.8460166301686745	76.13591063730253	49.22689420603696	47125.12710169491	3843.152542372881	193373156.83050847	-2348237918.9308066	-15011.95393333333	-0.5108745762711865	25174459.890338987
208	2	6872.967828393208	26.57408092270463	217.10841495835453	103.00946573692298	0.8875463438416451	36.78516329135664	1.908596476016389	76.20523059249294	49.753220766444926	39597.82866101695	3820.508474576271	195842417.5762712	-2344421561.630659	-14669.159833333337	-0.5296135593220339	28662757.77559322
209	2	9380.012110000298	101.94882174906746	3.849425978001548	0.5138730488687671	0.5327021353240995	185.46175597907308	1.8703640815601772	74.64725319889182	31.564512609452574	164841.40259322035	3998.3050847457625	191114507.76271185	-2362570231.378208	-11209.84922222222	-0.4777762711864406	21069650.33474576
210	2	7531.57351112393	160.87322898944603	295.1993828389772	186.4833547508704	1.317156994680166	225.7744214757948	1.9988203196289769	75.18394005281003	20.945468138850444	56098.47494915255	3868.254237288136	194753361.6440678	-2352053705.61712	-12058.349144444444	-0.5146067796610169	17059980.59355932
211	2	6150.894405107309	53.26650972114548	0.1419856523303666	88.48323653797084	0.558589791551552	297.9989677985642	1.9931768053058072	75.90035874033012	48.67630037797125	54295.42276271187	3870.677966101695	191796904.27118644	-2351122229.164469	-13505.034388888887	-0.4885406779661017	20622948.689830508
212	2	7442.649455260589	70.24853546527575	57.45466486412988	103.3984171324711	0.9013849871176478	202.5764929234131	1.972991058900729	74.86351452812433	49.93194027330733	69266.80279661017	3926.728813559322	191752252.5084746	-2355344536.7638025	-14075.573044444442	-0.5141881355932203	18824193.243728817
213	2	8499.951447593941	24.41646408222388	111.11044477148916	20.809446324523684	0.9470537438534852	179.19914048375787	1.872356158566024	76.31170178941422	49.74001705771424	54432.96274576272	3872.6101694915255	192333699.6101695	-2351357002.956673	-14065.014977777775	-0.5034559322033898	20652180.566949155
214	2	7716.46601638587	114.89991288089251	69.78517998736527	87.84807382334212	0.6810270358120009	155.551565400205	1.8573718235897347	75.55771976647759	48.6367229719527	51035.72784745762	3858.288135593221	194854699.6101695	-2350245732.1916103	-14063.35631111111	-0.4943338983050848	20547276.7079661
215	2	7813.879897149038	83.4528299359262	229.0519439117543	75.9605337693264	1.1374839388782925	116.80315283550128	1.9998095343116733	75.20562114489861	49.62289057591402	44547.18901694916	3836.3050847457625	194967748.79661015	-2347545786.942208	-14406.726411111107	-0.4979152542372881	23321361.29627119
216	2	7784.874892358205	95.09713819132338	86.54657480567948	246.1914935281295	0.3389485625996443	102.1984284682558	1.9847923528190765	75.75457293340742	49.13255324033017	44476.4116779661	3840.423728813559	193815668.7457627	-2347284193.202375	-14476.500955555552	-0.5102288135593219	24257610.168474574
217	2	7779.743850162188	93.1808481213998	86.54657480567948	220.56774076716283	0.0422996155424025	81.26258289814612	1.669168504692886	75.87717486189014	47.33783035048392	41079.75349152543	3830.186440677966	193957615.1525424	-2344983186.010948	-14278.1725	-0.5093881355932203	27173163.13559322
218	2	8623.097957683105	140.57595600387455	20.706804406566963	165.68972377937513	1.2151395680857393	272.29516905739325	0.7153394712869403	75.54678985457578	43.43279824013115	101938.25854237286	3961.3898305084745	190992220.16949156	-2359317039.7186346	-7103.275955555555	-0.4560593220338982	17083396.548305087
219	2	5649.250877357379	120.98001185128932	117.4107883340236	84.00938129649143	1.224675108537738	226.6287692334952	1.9237153862891057	74.83184106870137	49.95106691363593	64336.36727118644	3909.6101694915255	192270289.06779665	-2354137133.13031	-14040.265855555554	-0.5082338983050848	18729400.35016949
220	2	7110.51854135043	166.48208412027034	143.57552846550954	22.48271774470745	0.6728862218036935	249.44899453371855	1.5872995929521263	74.6610022700294	49.75783165816751	65987.58162711863	3908.5593220338974	192211238.27118644	-2355197637.5424123	-12206.492177777776	-0.4726999999999999	16140280.236101696
221	2	7696.350712065773	79.69550669742227	99.9672698920723	216.45233546899155	0.3606970466325354	83.79940804962307	1.8804014622389904	75.0938354318165	49.10852677782202	42897.38391525423	3827.237288135593	194526010.8644068	-2346446396.015202	-14503.349133333331	-0.5107372881355932	25101066.302711863
222	2	9491.964124005945	163.56682519410367	87.81690710538282	139.14553960119292	0.6509020441949447	8.940909797893184	1.1409752008240053	75.54499270135415	49.45088358973885	53868.583305084736	3871.9661016949153	191949712.5762712	-2350546958.844481	-15045.685788888888	-0.5126389830508474	24096448.58779661
223	2	7720.84981511889	148.6489908766581	149.5222915271852	95.34586531542216	0.5408045367783023	249.92023975923703	1.989323320891006	75.24680206895138	47.51593461571248	42889.07416949153	3824.322033898305	194791174.08474576	-2346474842.417242	-13528.259811111113	-0.4957	23315233.1061017
224	2	9488.500987875392	152.22541725348273	213.8035041030512	141.80048278326527	1.204650309192552	218.8317046310725	1.8932739603084685	75.08600222506638	24.436718985241853	61028.57099999999	3894.762711864407	192820313.5084746	-2353884219.753216	-12258.769911111109	-0.4980491525423729	16857895.79440678
225	2	9491.679003227428	72.62216165345956	83.06310180696863	109.75154007923678	0.395697476413599	95.47757719293648	1.807023284659636	75.57270670210261	49.25542283529134	51141.40108474577	3868.661016949152	191927675.3220339	-2349637917.561202	-14596.513733333331	-0.5064338983050847	23760683.295932204
226	2	9008.994886071652	148.0695524132041	536.9722918265837	4.697197141007635	0.0001397173928863	3.170068969210735	0.5557623015613673	75.31913381368368	49.99912370631704	44422.90247457627	3866.1186440677966	192986058.40677965	-2345668997.566631	-15037.89192222222	-0.5800338983050848	27766906.154576268
