Sim	Year	Month	QM	erieOut	ontNBS	stlouisontOut	ontNTS	iceInd	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	kingstonLevel	stlouisFlow	airTemp	freezingDiff
1978	2071	3	10	5839	2051	1450	7890	0	1.40412396694215	1.40788429752066	1.03642148760331	1.18345544561983	1.2168316831405	1.30095049504132	1.30635643570248	1.4108613861157	1.08833663371901	1.50550495041322	1.78634653471074	1.0837227722314	1.08990099008264	1.07059405933884	1.06258415834711	1.06750495041322	1.0583069307438	1945.9935578896	1840.547849264004	1696.1933749032132	1529.8012469519977	5793.0	5759.4062679404005	5884.6727580304	5859.3067270849	1374.430448296	1540.9019147065874	1926.0819699586127	2437.67955333777	7738.9935578896	7599.954117204405	7580.866132933613	7389.107974036897	6881.217109865445	0.0	1.0					69.93838709677419	37.93838709677419
1979	2071	3	11	5936	2383	1378	8319	0	1.28128925619835	1.28476033057851	1.02377685950413	1.10941584165289	1.13167326727273	1.1993069307438	1.19698019801653	1.2798316831405	1.07424752479339	1.41479207917355	1.65879207917355	1.05561386132231	1.05961386132231	1.04570297024793	1.02966336628099	1.03732673272727	1.01678217818182	1890.3839066896	1735.5230295644835	1557.926898309661	1500.0041090669836	5839.0	5884.6727580304	5904.5796418804	6014.141334798091	1606.511399496	1972.207450938428	2471.7043231130165	2589.679308883561	7729.3839066896	7620.195787594883	7462.506540190061	7514.145443865074	6886.945940880573	0.0	1.0					69.93838709677419	37.93838709677419
1980	2071	3	12	5987	2384	1783	8371	0	1.1150826446281	1.11655371900826	1.01669421487603	1.01984158413223	1.03943564363636	1.07087128710744	1.06408910892562	1.11	1.05123762380165	1.29285148512397	1.51749504958678	1.0171683168595	1.01262376231405	1.00581188115702	1.00392079206612	1.01337623768595	1.0028613861157	1969.3186274496	1742.4338717971802	1631.949808922767	1526.6630894695202	5936.0	5904.5796418804	6043.3362700304	5957.062879281972	1773.8138538960002	2332.2275368485075	2486.793323939188	2640.4239886875457	7905.3186274496	7647.013513677581	7675.286078953167	7483.725968751492	6908.189800355869	0.0	1.0					69.93838709677419	37.93838709677419
1981	2071	4	13	6059	2553	2209	8612	0	1.00985123966942	1.00944628099174	1.01235537190083	1.0028316831405	0.992207920826446	1.00091089107438	0.993425742644628	1.0112772277686	1.02124752479339	1.11559405933884	1.25064356429752	1.01548514859504	1.01554455438017	1.0188613861157	1.028	1.02212871289256	1.02066336628099	1939.2416512096	1787.266709953676	1637.7342149592075	1439.2960561380846	5987.0	6043.3362700304	6003.943578980399	6117.713398723691	2340.202948896	2492.400283327507	2644.559999809256	2606.37314007075	7926.241651209601	7830.602979984076	7641.677793939607	7557.009454861776	6912.240984448916	0.0	2.0					86.2566666666667	54.2566666666667
1982	2071	4	14	6110	2778	2436	8888	0	0.970702479338843	0.967173553719008	1.00585123966942	0.971237623801653	0.971900990082645	0.975019801983471	0.967663366280992	0.975851485123967	1.0044455446281	0.997079207933884	1.0176930692562	1.0048316831405	1.00502970297521	1.01162376231405	1.02499009900826	1.01478217818182	1.01160396033058	2078.5564222896	1867.614433908244	1603.68933515029	1517.9029388150575	6059.0	6003.943578980399	6126.6229283304	6103.942604544451	2378.489883096	2564.477493199948	2547.299743056228	2549.164892652907	8137.5564222896	7871.558012888643	7730.31226348069	7621.845543359508	6936.159834508056	0.0	2.0					86.2566666666667	54.2566666666667
1983	2071	4	15	6188	3559	2719	9747	0	0.985206611570248	0.980471074380165	1.00501652892562	0.996683168264463	0.982514851404959	0.985455445619835	0.975217821818182	0.98491089107438	0.997326732727273	0.937970297024793	0.875247524793388	1.00108910892562	1.00120792082645	1.0066930692562	1.01187128710744	1.00454455438017	1.01131683173554	2199.5703558896	1865.6625418748035	1705.246741877699	1501.0703201904212	6110.0	6126.6229283304	6164.2674968204	6262.914802374732	2614.407776696	2582.4022644234674	2575.058502490248	2441.695450191223	8309.570355889598	7992.285470205204	7869.514238698099	7763.985122565153	6961.190750235874	0.0	2.0					86.2566666666667	54.2566666666667
1984	2071	4	16	6216	2683	2521	8899	0	0.992206611570248	0.987735537190083	1.00494214876033	1.02333663371901	1.00060396033058	1.00204950495868	0.997118811900826	1.00141584165289	0.995227722809917	0.949445544628099	0.89862376231405	1.00596039603306	1.00980198016529	1.0171386138843	1.01014851487603	1.01046534661157	1.02815841586777	2510.8478509696006	2214.4145354397724	1865.1893537190776	1545.9334128799778	6188.0	6164.2674968204	6297.8260807404	6282.155470721844	2673.209232696	2638.898587522667	2488.7875162145733	2279.237348432177	8698.8478509696	8378.682032260172	8163.015434459478	7828.088883601822	6988.407648666481	0.0	2.0					86.2566666666667	54.2566666666667
1985	2071	5	17	6263	2243	1906	8506	0	0.980413223140496	0.974123966942149	1.00374380165289	1.00395049504132	0.983633663305785	0.984920792066116	0.98191089107438	0.984079207933884	0.988930693057851	0.929118811900826	0.866762376198347	1.00399009900826	1.00622772280992	1.01160396033058	1.01768316826446	1.00634653471074	1.00680198016529	2296.1179453696004	1929.6681079220125	1592.0438345530683	1328.8814046507	6216.0	6297.8260807404	6311.580918530401	6310.83244920554	2506.750531696	2395.883378114467	2210.705989129774	1976.26054866747	8512.1179453696	8227.494188662413	7903.624753083469	7639.713853856239	7008.864905698048	0.0	2.0					97.4222580645161	65.4222580645161
1986	2071	5	18	6290	1550	1497	7840	0	0.97696694214876	0.970173553719008	1.00357024793388	1.02025742578512	0.987920792066116	0.989019801983471	0.98537623768595	0.989069306942149	0.989584158347107	0.932990099008264	0.878732673223141	0.999415841652893	1.0034455446281	1.00763366330579	1.01967326727273	1.00517821785124	1.00627722776859	1904.4583310496	1572.14876520574	1314.6539269619498	1079.472801097042	6263.0	6311.580918530401	6291.0233744804	6282.130627750492	1874.311766496	1844.0251421678272	1705.7759676105811	1547.421133562991	8167.4583310496	7883.729683736141	7605.67730144235	7361.603428847534	7019.416198643609	0.0	2.0					97.4222580645161	65.4222580645161
1987	2071	5	19	6295	1075	1097	7370	0	0.981157024793388	0.974338842975207	1.00365289256198	1.01097029702479	0.986980198016529	0.987970297024793	0.984475247603306	0.987772277190083	0.989970297024793	0.938118811900826	0.882326732727273	1.00145544561983	1.00565346528926	1.01062376231405	1.02428712876033	1.00905940595041	1.0161683168595	1403.9228412895998	1181.8932746456442	984.53223136096	812.0574231161052	6290.0	6291.0233744804	6269.855401290401	6309.742832794851	1516.443066496	1475.4757168278277	1377.5386121103934	1230.484397977484	7693.9228412896	7472.916649126044	7254.38763265136	7121.800255910956	7029.178055293765	0.0	2.0					97.4222580645161	65.4222580645161
1988	2071	5	20	6272	1836	1056	8108	0	0.981553719008264	0.97597520661157	1.00089256198347	1.01922772280992	0.991138613884297	0.991504950413223	0.988613861322314	0.993653465289256	0.987277227768595	0.927039603966942	0.866029702975207	0.994188118842975	0.99817821785124	1.00271287123967	1.02364356429752	1.00705940595041	1.02450495041322	1025.7864941696	861.3357731424921	723.9564554825481	687.1937509546729	6295.0	6269.855401290401	6312.0047373904	6188.79613075438	1111.315246496	1121.5226275038272	1041.6324933472963	949.2570961840246	7320.7864941696	7131.191174432893	7035.961192872948	6875.9898817090525	7032.758759147682	0.0	2.0					97.4222580645161	65.4222580645161
1989	2071	6	21	6223	2164	1167	8387	0	0.981826446280992	0.975586776859504	0.998801652892562	1.00606930694215	0.986980198016529	0.986980198016529	0.983227722809917	0.989653465289256	0.988029702975207	0.931039603966942	0.883792079173554	0.986009900991735	0.990158415867769	0.986158415867769	0.996673267272727	0.989415841652893	0.996138613884297	1245.8631030096	1027.418002657956	904.2069373103992	747.6816607248229	6272.0	6312.0047373904	6190.0159785004	6186.11595865806	1073.497930496	1007.8696577526272	924.3517145237046	839.1187177685842	7517.8631030096	7339.422740048356	7094.222915810799	6933.797619382883	7045.862005174408	0.0	2.0					105.0566666666667	73.0566666666667
1990	2071	6	22	6200	1727	1054	7927	0	0.990743801652893	0.983669421487603	0.997842975206612	1.02928712876033	1.00462376231405	1.00464356429752	0.995128712892562	1.00404950495868	0.990168316859504	0.935881188099174	0.879297029752066	0.983752475206612	0.991019801983471	0.987	0.986544554380165	0.98553465338843	0.990198019834711	1463.1657739696	1248.090668295572	993.6017942363396	846.898244324131	6223.0	6190.0159785004	6135.4900640304	6185.563019921427	1089.048154496	981.4226886294272	881.2175038093424	792.2182994383219	7686.1657739696	7438.106646795972	7129.09185826674	7032.461264245559	7068.898464121095	0.0	2.0					105.0566666666667	73.0566666666667
1991	2071	6	23	6138	1593	883	7731	0	1.00333884297521	0.994925619834711	1.00047107438017	1.03076237619835	1.0128613861157	1.01057425735537	1.00502970297521	1.01394059404959	0.992762376198347	0.944841584132231	0.901495049586777	0.990475247603306	0.99691089107438	0.991247524793388	0.992495049586777	0.996118811900826	1.00548514859504	1373.3063919695996	1092.419626638372	917.5654272932323	711.4252215376524	6200.0	6135.4900640304	6191.2419313504	6158.428016230892	950.993880896	859.8251182899073	776.4380630748111	699.4934400365371	7573.3063919696	7227.909690668772	7108.807358643632	6869.853237768545	7097.116745437876	0.0	2.0					105.0566666666667	73.0566666666667
1992	2071	6	24	6099	897	823	6996	0	1.01747107438017	1.01020661157025	1.00147107438017	1.04012871289256	1.02346534661157	1.02257425735537	1.01503960396694	1.02296039603306	0.998306930743802	0.971188118842975	0.962346534710744	0.998415841652893	1.00815841586777	1.00184158413223	1.00343564363636	1.00990099008264	1.01448514859504	1196.6862130096	999.8506048639562	770.2694762403669	516.6801990556413	6138.0	6191.2419313504	6159.8556678104005	6138.266032882508	800.792830896	734.9365536799074	668.8795738504091	620.9503657959851	7334.6862130096	7191.092536214356	6930.125144050768	6654.946231938149	7122.220688601624	0.0	2.0					105.0566666666667	73.0566666666667
1993	2071	7	25	6036	852	634	6888	0	1.02052066115702	1.0134132231405	1.00152892561983	1.03222772280992	1.0235544553719	1.02052475239669	1.01449504958678	1.02358415834711	0.998752475206612	0.978504950413223	0.970326732727273	0.998455445619835	1.00434653471074	0.998554455371901	1.00220792082645	1.00241584165289	1.00203960396694	857.6195281696	658.0234556388922	436.41017205153935	343.3783215588486	6099.0	6159.8556678104005	6085.7988223304	6094.979151490956	754.2168178960002	682.4341911933072	630.949020003743	591.0562102242282	6956.6195281696	6817.879123449293	6522.208994381939	6438.357473049804	7141.5629798084965	0.0	2.0					109.39	77.39
