gageDepth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-2.68,0,0,0,0,0,0,0,0,0,15989.09,354174.49,956377.02,842525.04,1874122.03,1139819,1434185.73,966267.76,1869083.7,1395946.32,1407008.8,912564.7,2017834.28,1427206.22,1471190.45,973627.66,1861218.72,1486891.02,1437375.19,901750.63,1998148.17,1622204.82,1668586.76,916836.51,1962582.48,1501361.09,1669509.11,1118775.33,2259015.18,1816592.19,1844996.08,1061371.26,2526020.9,1515152.84,1806058.37,934928.59,1844397.93,122518.36,0
-2.67,0,0,0,0,0,0,0,0,0,15933.54,353113.23,953614.88,840056.01,1867945.56,1136318.88,1429529.23,963329.04,1862912.8,1391651.72,1402516.99,909611.28,2011326.2,1422573.26,1466490.07,970682.53,1855259.5,1482008.97,1432815.89,898904.12,1991497.92,1616919.53,1663394.79,913954.92,1956158.82,1496472.66,1664368.43,1115253.85,2251672.18,1810737.88,1839215.35,1057999.78,2517366.61,1510276.97,1800072.1,931983.63,1838556.6,122199.49,0
-2.66,0,0,0,0,0,0,0,0,0,15877.99,352051.97,950852.74,837586.99,1861769.09,1132818.76,1424872.74,960390.31,1856741.91,1387357.12,1398025.19,906657.86,2004818.11,1417940.31,1461789.69,967737.4,1849300.27,1477126.92,1428256.59,896057.6,1984847.67,1611634.24,1658202.82,911073.34,1949735.16,1491584.24,1659227.75,1111732.37,2244329.19,1804883.58,1833434.62,1054628.31,2508712.33,1505401.11,1794085.84,929038.67,1832715.28,121880.61,0
-2.65,0,0,0,0,0,0,0,0,0,15822.44,350990.71,948090.6,835117.97,1855592.61,1129318.64,1420216.24,957451.59,1850571.02,1383062.51,1393533.38,903704.44,1998310.02,1413307.35,1457089.31,964792.27,1843341.04,1472244.87,1423697.29,893211.09,1978197.42,1606348.95,1653010.86,908191.76,1943311.5,1486695.81,1654087.08,1108210.9,2236986.19,1799029.27,1827653.89,1051256.83,2500058.04,1500525.24,1788099.58,926093.71,1826873.96,121561.73,0
-2.64,0,0,0,0,0,0,0,0,0,15766.89,349929.45,945328.45,832648.95,1849416.14,1125818.51,1415559.75,954512.87,1844400.12,1378767.91,1389041.57,900751.02,1991801.94,1408674.39,1452388.93,961847.15,1837381.82,1467362.82,1419137.99,890364.58,1971547.18,1601063.66,1647818.89,905310.18,1936887.84,1481807.38,1648946.4,1104689.42,2229643.2,1793174.97,1821873.16,1047885.36,2491403.76,1495649.37,1782113.32,923148.75,1821032.63,121242.85,0
-2.63,0,0,0,0,0,0,0,0,0,15711.33,348868.19,942566.31,830179.93,1843239.67,1122318.39,1410903.25,951574.14,1838229.23,1374473.31,1384549.77,897797.59,1985293.85,1404041.44,1447688.55,958902.02,1831422.59,1462480.77,1414578.69,887518.07,1964896.93,1595778.37,1642626.92,902428.6,1930464.18,1476918.95,1643805.72,1101167.94,2222300.21,1787320.66,1816092.43,1044513.88,2482749.47,1490773.51,1776127.06,920203.79,1815191.31,120923.97,0
-2.62,0,0,0,0,0,0,0,0,0,15655.78,347806.93,939804.17,827710.91,1837063.19,1118818.27,1406246.76,948635.42,1832058.34,1370178.71,1380057.96,894844.17,1978785.76,1399408.48,1442988.17,955956.89,1825463.37,1457598.72,1410019.39,884671.55,1958246.68,1590493.08,1637434.96,899547.01,1924040.52,1472030.53,1638665.04,1097646.46,2214957.21,1781466.36,1810311.7,1041142.4,2474095.19,1485897.64,1770140.8,917258.83,1809349.98,120605.09,0
-2.61,0,0,0,0,0,0,0,0,0,15600.23,346745.67,937042.03,825241.89,1830886.72,1115318.14,1401590.26,945696.7,1825887.44,1365884.11,1375566.16,891890.75,1972277.68,1394775.52,1438287.79,953011.77,1819504.14,1452716.67,1405460.1,881825.04,1951596.43,1585207.79,1632242.99,896665.43,1917616.86,1467142.1,1633524.36,1094124.98,2207614.22,1775612.05,1804530.97,1037770.93,2465440.9,1481021.77,1764154.54,914313.87,1803508.66,120286.21,0
-2.6,0,0,0,0,0,0,0,0,0,15544.68,345684.41,934279.89,822772.87,1824710.25,1111818.02,1396933.77,942757.97,1819716.55,1361589.5,1371074.35,888937.33,1965769.59,1390142.56,1433587.41,950066.64,1813544.91,1447834.62,1400900.8,878978.53,1944946.18,1579922.5,1627051.03,893783.85,1911193.2,1462253.67,1628383.68,1090603.5,2200271.22,1769757.74,1798750.24,1034399.45,2456786.62,1476145.91,1758168.28,911368.91,1797667.33,119967.33,0
-2.59,0,0,0,0,0,0,0,0,0,15493.32,344687.4,931678.38,820450.19,1818948.32,1108536.07,1392586.28,939999.33,1813957.4,1357562.56,1366872.29,886176.6,1959685.16,1385811.92,1429189.48,947301.29,1807971.59,1443277.02,1396632.84,876314.04,1938742.54,1574985.62,1622185.55,891086.32,1905194.93,1457687.21,1623564.45,1087307.28,2193467.77,1764285.34,1793336.36,1031245.82,2448732.52,1471588,1752592.8,908611.81,1792199.03,119664.95,0
