waterLevel,Month,buildingsImpacted,matchString
74.51,10,44.106,74.51_10
74.51,11,105.988,74.51_11
74.51,12,96.542,74.51_12
74.51,2,70.475,74.51_2
74.51,3,60.481,74.51_3
74.51,4,30.557,74.51_4
74.51,5,11.683,74.51_5
74.51,6,2.837,74.51_6
74.51,7,1.247,74.51_7
74.51,8,2.024,74.51_8
74.51,9,6.336,74.51_9
74.52,1,99.054,74.52_1
74.52,10,45.289,74.52_10
74.52,11,108.71,74.52_11
74.52,12,98.903,74.52_12
74.52,2,72.309,74.52_2
74.52,3,62.172,74.52_3
74.52,4,31.888,74.52_4
74.52,5,12.526,74.52_5
74.52,6,3.147,74.52_6
74.52,7,1.335,74.52_7
74.52,8,2.06,74.52_8
74.52,9,6.508,74.52_9
74.53,1,101.275,74.53_1
74.53,10,46.522,74.53_10
74.53,11,111.59,74.53_11
74.53,12,101.196,74.53_12
74.53,2,74.015,74.53_2
74.53,3,63.743,74.53_3
74.53,4,33.368,74.53_4
74.53,5,13.681,74.53_5
74.53,6,3.574,74.53_6
74.53,7,1.458,74.53_7
74.53,8,2.1,74.53_8
74.53,9,6.673,74.53_9
74.54,1,103.352,74.54_1
74.54,10,47.805,74.54_10
74.54,11,114.629,74.54_11
74.54,12,103.42,74.54_12
74.54,2,75.593,74.54_2
74.54,3,65.194,74.54_3
74.54,4,34.996,74.54_4
74.54,5,15.147,74.54_5
74.54,6,4.116,74.54_6
74.54,7,1.616,74.54_7
74.54,8,2.145,74.54_8
74.54,9,6.832,74.54_9
74.55,1,105.286,74.55_1
74.55,10,49.138,74.55_10
74.55,11,117.826,74.55_11
74.55,12,105.577,74.55_12
74.55,2,77.044,74.55_2
74.55,3,66.524,74.55_3
74.55,4,36.773,74.55_4
74.55,5,16.925,74.55_5
74.55,6,4.775,74.55_6
74.55,7,1.81,74.55_7
74.55,8,2.194,74.55_8
74.55,9,6.985,74.55_9
74.56,1,107.076,74.56_1
74.56,10,50.521,74.56_10
74.56,11,121.181,74.56_11
74.56,12,107.666,74.56_12
74.56,2,78.367,74.56_2
74.56,3,67.734,74.56_3
74.56,4,38.698,74.56_4
74.56,5,19.014,74.56_5
74.56,6,5.551,74.56_6
74.56,7,2.039,74.56_7
74.56,8,2.248,74.56_8
74.56,9,7.132,74.56_9
74.57,1,108.723,74.57_1
74.57,10,51.954,74.57_10
