Sim	Year	Month	QM	erieOut	ontNBS	stlouisontOut	ontNTS	iceInd	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	kingstonLevel	stlouisFlow	airTemp	freezingDiff
1488	2060	12	48	6109	2072	2068	8181	0	1.02655371900826	1.03109090909091	1.03499173553719	1.04917821785124	1.02914851487603	1.03007920793388	1.02626732677686	1.05431683173554	1.03909900991736	1.08093069305785	1.1084455446281	1.02362376231405	1.02476237619835	1.00024752479339	0.976485148595041	0.979247524793388	0.952900990082645	1420.7651567296	1565.8122479534682	1570.2405965480452	1678.7461665146652	6086.0	6068.6399910844	5973.8130846644	5925.379212269207	1558.504738296	1346.705655884587	1374.8515360633523	1345.1626130227794	7506.7651567296	7634.452239037868	7544.053681212445	7604.125378783872	7249.736832052522	1.0	1.0					47.7805161290323	15.7805161290323
1489	2061	1	1	6149	1251	2235	7400	0	1.14445454545455	1.15268595041322	1.06893388429752	1.07611881190083	1.09388118809917	1.11475247520661	1.1165544553719	1.19484158413223	1.07134653471074	1.24738613867769	1.32515841586777	1.0766930692562	1.08367326727273	1.07271287123967	1.04197029702479	1.03821782181818	1.00236633669421	1874.8883045696	1814.157455118332	1853.1774088810016	1873.000281810564	6109.0	5973.8130846644	5948.3359853404	5952.413262171511	1789.049442096	1685.8327907237472	1574.5600170057908	1443.3996822653849	7983.8883045696	7787.970539782732	7801.5133942214015	7825.413543982075	7265.965846406484	1.0	1.0					43.65148387096775	11.651483870967702
1490	2061	1	2	6172	1339	2095	7511	0	1.39779338842975	1.4129173553719	1.12867768595041	1.17502970297521	1.21953465338843	1.30802970297521	1.326	1.54179207917355	1.12281188115702	1.59468316826446	1.56801980198347	1.12358415834711	1.12579207917355	1.11642574264463	1.07558415834711	1.06161386132231	1.02725742578512	1518.0600657696	1619.5030640238524	1705.8937254147213	1772.8875273349372	6149.0	5948.3359853404	6052.0595796144	5953.05463116202	2073.007065096	1846.7554120123475	1644.1864372703535	1575.9283941091533	7667.060065769599	7567.839049364253	7757.953305029121	7725.942158496957	7258.46076710484	1.0	1.0					43.65148387096775	11.651483870967702
1491	2061	1	3	6191	744	1969	6935	0	1.59786776859504	1.60918181818182	1.13006611570248	1.2446930692562	1.28202970297521	1.44702970297521	1.46618811884298	1.70017821785124	1.13140594066116	1.69073267322314	1.69745544561983	1.13015841586777	1.13940594066116	1.12278217818182	1.06638613867769	1.04485148512397	1.01171287123967	1534.5211568096	1638.827644431436	1724.9268414884327	1718.102564579072	6172.0	6052.0595796144	6080.2747227004	5966.577994695071	1865.849678096	1657.6102922189473	1585.8305905615236	1390.3180310895805	7706.5211568096	7690.887224045836	7805.201564188833	7684.680559274143	7262.168073134213	1.0	1.0					43.65148387096775	11.651483870967702
1492	2061	1	4	6187	999	1735	7186	0	1.64182644628099	1.6529173553719	1.13690909090909	1.25595049504132	1.28009900991736	1.46291089107438	1.47249504958678	1.67224752479339	1.12527722776859	1.69040594066116	1.70301980198347	1.13123762380165	1.14326732677686	1.12997029702479	1.08859405933884	1.06926732677686	1.04526732677686	1263.6463034096	1428.8409683277962	1506.3639131170253	1576.8407950408468	6191.0	6080.2747227004	6045.607305810399	6036.361488422387	1747.165401696	1648.7905804484674	1436.760889038153	1250.936002226629	7454.6463034096	7509.115691028196	7551.971218927425	7613.2022834632335	7259.007788906784	1.0	1.0					43.65148387096775	11.651483870967702
1493	2061	2	5	6140	1763	2158	7903	0	1.69309917355372	1.69995041322314	1.12854545454545	1.2685544553719	1.31542574264463	1.5165544553719	1.52627722776859	1.73959405933884	1.11993069305785	1.65481188115702	1.70932673272727	1.14074257421488	1.15296039603306	1.14480198016529	1.0971386138843	1.08150495041322	1.05221782181818	1303.2398327296	1407.2419210630685	1505.9560996526616	1629.2700697428595	6187.0	6045.607305810399	6097.0668261504	6081.076259391355	1638.228578696	1429.3354777198674	1245.4585978673824	1135.3237803565871	7490.2398327296	7452.849226873468	7603.022925803061	7710.346329134214	7246.224929487126	1.0	1.0					68.1445714285714	36.14457142857143
1494	2061	2	6	6137	664	2046	6801	2	1.72495041322314	1.72929752066116	1.12405785123967	1.27008910892562	1.33237623768595	1.51864356429752	1.52479207917355	1.73296039603306	1.11587128710744	1.65824752479339	1.73772277223141	1.1455544553719	1.16411881190083	1.13614851487603	1.08387128710744	1.06326732677686	1.03484158413223	1625.4440964496	1678.1570450645804	1752.4154112371752	1775.0549829056308	6140.0	6097.0668261504	6134.7668238464	6146.441044394747	1880.601025696	1562.7121248052672	1369.3479679671266	1449.738588359679	7765.4440964496	7775.22387121498	7887.182235083575	7921.496027300378	7250.709719964843	1.0	1.0					68.1445714285714	36.14457142857143
1495	2061	2	7	6161	1073	1692	7234	0	1.65227272727273	1.65789256198347	1.07989256198347	1.26850495041322	1.32922772280992	1.50479207917355	1.50507920793388	1.69179207917355	1.10958415834711	1.58690099008264	1.71471287123967	1.13437623768595	1.14838613867769	1.13458415834711	1.08391089107438	1.07639603966942	1.03789108909091	1221.8556768896	1392.3111783014042	1517.5351497110637	1558.7941739294574	6137.0	6134.7668238464	6169.1550336804	6133.024501834233	1706.311514296	1470.3027450077873	1524.2085553617146	1438.9050844976707	7358.8556768896	7527.078002147804	7686.690183391463	7691.81867576369	7248.186196232171	1.0	1.0					68.1445714285714	36.14457142857143
1496	2061	2	8	6190	712	1822	6902	0	1.58414876033058	1.58960330578512	1.07427272727273	1.25028712876033	1.29548514859504	1.45740594066116	1.4591683168595	1.60991089107438	1.10199009900826	1.5505544553719	1.78047524760331	1.12377227719008	1.1418316831405	1.10488118809917	1.06632673272727	1.06857425735537	1.05268316826446	1321.6642740496	1461.7819763935402	1518.9236404015792	1497.1817440097188	6161.0	6169.1550336804	6147.945932430401	6232.865487097812	1457.877488296	1515.4732186345873	1432.4614048929025	1613.6005006972448	7482.6642740496	7630.937010073941	7666.86957283198	7730.04723110753	7236.400558193271	0.0	1.0					68.1445714285714	36.14457142857143
1497	2061	3	9	6225	720	1851	6945	0	1.50997520661157	1.51355371900826	1.0576694214876	1.22751485140496	1.26420792082645	1.38514851487603	1.3903069307438	1.52097029702479	1.09635643570248	1.53838613867769	1.77494059404959	1.11023762380165	1.12306930694215	1.10570297024793	1.08215841586777	1.08311881190083	1.06861386132231	1172.4353119296	1290.576837331388	1333.885050278166	1352.1273351336	6190.0	6147.945932430401	6244.7221039404	6309.217970396812	1831.604383296	1654.7113138735872	1777.544633636402	2110.0919508689785	7362.4353119296	7438.522769761788	7578.607154218566	7661.345305530413	7224.63854975754	0.0	1.0					69.1353548387097	37.13535483870968
1498	2061	3	10	6254	317	1813	6571	0	1.40412396694215	1.40788429752066	1.03642148760331	1.18345544561983	1.2168316831405	1.30095049504132	1.30635643570248	1.4108613861157	1.08833663371901	1.50550495041322	1.78634653471074	1.0837227722314	1.08990099008264	1.07059405933884	1.06258415834711	1.06750495041322	1.0583069307438	1075.8510382896	1164.427593981844	1230.9439335300203	1338.612459710746	6225.0	6244.7221039404	6353.0463240304	6345.856939601699	1671.550588296	1789.3831602545874	2118.824719267386	2595.1213423508634	7300.8510382896	7409.149697922245	7583.99025756042	7684.469399312446	7210.646154744375	0.0	1.0					69.1353548387097	37.13535483870968
1499	2061	3	11	6333	1022	1743	7355	0	1.28128925619835	1.28476033057851	1.02377685950413	1.10941584165289	1.13167326727273	1.1993069307438	1.19698019801653	1.2798316831405	1.07424752479339	1.41479207917355	1.65879207917355	1.05561386132231	1.05961386132231	1.04570297024793	1.02966336628099	1.03732673272727	1.01678217818182	804.2768912095999	946.7199499776762	1135.3565517265984	1124.1147609686711	6254.0	6353.0463240304	6351.1342068804	6478.819153138891	1912.189539496	2205.1613720864275	2658.80815217771	2746.683375219705	7058.2768912096	7299.766274008076	7486.4907586069985	7602.933914107562	7170.106696325885	0.0	2.0					69.1353548387097	37.13535483870968
